letter,weight,rel_weight,center,rel_center,horizontal moment,vertical moment,normalized horizontal moment,normalized vertical moment,i45 moment,normalized i45 moment,i135 moment,normalized i135 moment
խ,485,0.24871794871794872,"(16, 25)","(0.39473684210526316, 0.4897959183673469)",69771,56317,17.351653817458345,14.005719970156678,57667.0,14.34145734891818,68421.0,17.01591643869684
Ծ,408,0.28254847645429365,"(18, 17)","(0.4594594594594595, 0.43243243243243246)",51367,52550,17.786357340720222,18.195983379501385,51618.5,17.873441828254848,52298.5,18.10889889196676
ծ,310,0.3708133971291866,"(10, 21)","(0.42857142857142855, 0.5405405405405406)",30105,12414,15.614626556016598,6.4387966804979255,18088.5,9.382002074688797,24430.5,12.671421161825727
Կ,313,0.2630252100840336,"(18, 16)","(0.5151515151515151, 0.4411764705882353)",31007,27827,13.022679546409071,11.687106257874843,13269.0,5.5728685426291475,45565.0,19.136917261654766
կ,388,0.27714285714285714,"(14, 26)","(0.48148148148148145, 0.5102040816326531)",66492,20151,20.247259439707673,6.136114494518879,23804.5,7.248629719853837,62838.5,19.134744214372716
Հ,226,0.21523809523809523,"(13, 24)","(0.5, 0.5609756097560976)",37100,7987,15.52951025533696,3.3432398493093345,24188.5,10.124947676852239,20898.5,8.747802427794056
հ,315,0.3153153153153153,"(12, 21)","(0.4230769230769231, 0.5555555555555556)",36905,15298,17.590562440419447,7.291706387035272,18142.5,8.647521448999047,34060.5,16.234747378455673
Ձ,361,0.3364398881640261,"(15, 20)","(0.5, 0.5277777777777778)",49202,27597,22.263348416289592,12.487330316742081,41829.5,18.92737556561086,34969.5,15.823303167420814
ձ,277,0.2699805068226121,"(11, 24)","(0.38461538461538464, 0.6216216216216216)",28545,11260,13.136217211228717,5.181776346065347,19285.5,8.875057524160148,20519.5,9.442936033133916
Կ,313,0.2630252100840336,"(18, 16)","(0.5151515151515151, 0.4411764705882353)",31007,27827,13.022679546409071,11.687106257874843,13269.0,5.5728685426291475,45565.0,19.136917261654766
կ,388,0.27714285714285714,"(14, 26)","(0.48148148148148145, 0.5102040816326531)",66492,20151,20.247259439707673,6.136114494518879,23804.5,7.248629719853837,62838.5,19.134744214372716
